Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
VERSAILLES -- LE PARC,1906,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40014
HEURTOIR. 20 RUE DE VARENNE,1911,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40015
HÔTEL D'EPINAY. 37 RUE ST.-ROCH,1912,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40017
HÔTEL MICHEL SIMON. 70 RUE DES ARCHIVES,1913,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40018
HÔTEL MICHEL SIMON. 70 RUE DES ARCHIVES,1913,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40019
14 RUE DU CHERCHE MIDI,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40020
14 RUE DU CHERCHE MIDI,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40021
Hôtel dit de Sartine |  21 rue du Cherche-Midi,6/1/,Albumen silver print,22.1,17.9,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40022
13 RUE DES PETITS CHAMPS,1907,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40023
HÔTEL MAUPÉON. 17 RUE RADZIWILL,1907,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40024
VERSAILLES,1906,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40025
HÔTEL MAUPÉON. 17 RUE RADZIWILL,1907,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40026
Hôtel de Grancey |  rue de Richelieu 83,1907,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40027
HÔTEL DE GRANCEY. 83 RUE RICHELIEU,1907,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40028
HÔTEL DE GRANCEY. RUE RICHELIEU 83,1907,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40029
HÔTEL LAPORTE DE SERINCOURT. 34 RUE ST.-ANNE,1907,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40030
254 RUE ST.-JACQUES,8/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40031
HÔTEL JEAN DE FOURCY. RUE DES FRANCS BOURGEOIS 30,1908,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40032
ESCALIER. 3 RUE DES DÉCHARGEURS,1908,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40033
ESCALIER. 8 RUE ST.-AUGUSTIN,1913,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40034
8 RUE ST.-AUGUSTIN,1913,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40035
VERSAILLES -- LE PARC,1906,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40036
ESCALIER -- ÉCOLE MILITAIRE,1921,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40038
ÉCOLE MILITAIRE,1921,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40039
Ambassade d'Autriche |  57 rue de Varenne,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40040
ÉCOLE MILITAIRE,1921,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40041
8 RUE ST.-AUGUSTIN,1913,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40042
91 RUE DE TURENNE,1911,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40043
FOLIE THOINARD. 9 RUE COQ-HÉRON,1908,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40044
Châtaignier |  Limoges,Befo,,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40045
Hôtel de Jean de Fourcy |  rue des Francs-Bourgeois 30,1908,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40046
VERSAILLES,1906,Gelatin silver printing-out-paper print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40047
254 RUE ST.-JACQUES. (ESCALIER),8/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40048
Tuileries - Le Rhin et la / Moselle par Van cleve,1911,Albumen silver print,null,null,null,,Photograph,Photography,1968,N,40049
HÔTEL LAPORTE DE SERINCOURT. 34 RUE ST.-ANNE,8/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40050
ESCALIER. 12 PLACE VENDÔME,1907,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40051
ANCIEN HÔTEL DIT DE SARTINE. 21 RUE DU CHERCHE-MIDI,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40052
14 Rue du Cherche-Midi,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40053
ESBLY. VIEILLE MAISON,1923,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40054
ANCIEN MONASTÈRE DES BÉNÉDICTINS ANGLAIS. 269 RUE ST.-JACQUES,1905,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40055
HÔTEL DODUN. RUE RICHELIEU 21,5/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40056
97 RUE DU BAC,1903,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40057
GRAND TRIANON. ENTRÉE,1901,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40058
Tuileries - Le Nil par / Bourdie (Detail) / (1e arr),1911,Albumen silver print,null,null,null,,Photograph,Photography,1968,N,40059
HÔTEL D'ECQUEVILLY. RUE DE TURENNE 60,1901,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40060
HÔTEL DE CHANTOSME. 6 RUE DE TOURNON,1900,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40061
La Monnaie,1900,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40062
HÔTEL LE VAYER. 46 RUE DU BAC,1911,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40063
HÔTEL DE CHIVERNY. 11 RUE ST.-FLORENTIN,1911,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40064
FOLIE THOINARD. 9 RUE COQ-HÉRON,1909,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40065
HÔTEL VILLARCEAUX. 1 ET 3 RUE DU MAIL,1908,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40066
HÔTEL CHENIZOT. 51 RUE SAINT-LOUIS-EN-L'ÎLE,1908,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40067
HÔTEL D'ALBRET. 31 RUE DES FRANCS BOURGEOIS,4/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40068
5 rue Bonaparte,1902,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40070
18 AVENUE MONTAIGNE,2/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40071
Ambassade d'Autriche |  57 rue de Varenne,1900,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40072
HEURTOIR. 10 RUE ST.-LOUIS-EN-L'ÎLE,1909,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40074
30 QUAI DE BETHUNE,1908,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40075
Ambassade d'Autriche |  57 rue de Varenne,1905,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40076
HÔTEL LAVALIÈRE. 286 RUE ST.-JACQUES,1899,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40077
ESCALIER. 13 RUE STE.-CROIX-DE-LA-BRETONNERIE,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40078
Crépy-en-Valois |  vielle demeure XVIe siècle,8/1/,Albumen silver print,17.5,23.5,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,Y,40079
HÔTEL LE CHARRON. 15 QUAI BOURBON,1900,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40080
HÔTEL MASCARANI. RUE CHARLOT 83,1901,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40081
HÔTEL D'ECQUEVILLY. RUE DE TURENNE 60,1901,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40082
HÔTEL D'ECQUEVILLY. RUE DE TURENNE 60,1901,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40083
HÔTEL D'EPERNON. RUE VIEILLE DU TEMPLE 110,1901,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40084
HÔTEL DE BEAUFFREMONT. 87 RUE DE GRENELLE,1901,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40085
HÔTEL DU MARQUIS DE LAGRANGE. 4 ET 6 RUE DE BRAQUE,1901,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40086
HÔTEL DE BARBANÇOIS. RUE DES QUATRE-FILS 20,1901,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40087
HÔTEL DU MARQUIS DE LAGRANGE. 6 RUE DE BRAQUE,1901,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40088
7 RUE DE L'ESTRAPADE,1905,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40089
Trianon,1926,Gelatin silver printing-out-paper print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40090
Grand Trianon,1901,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40091
HÔTEL DU TILLET DE LA BUSSIÈRE. 52 RUE ST.-ANDRÉ-DES-ARTS,1905,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40092
Ambassade d'Autriche |  57 rue de Varenne,1905,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40093
13 RUE STE.-CROIX-DE-LA-BRETONNERIE,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40094
20 RUE ST.-CROIX-DE-LA-BRETONNERIE,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40095
20 RUE SAINT-CROIX-DE-LA-BRETONNERIE,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40096
HÔTEL CHENIZOT. RUE SAINT-LOUIS-EN-L'ÎLE,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40097
HÔTEL CHENIZOT. RUE SAINT-LOUIS-EN-L'ÎLE,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40098
88 |  rue Bonaparte,6/1/,Albumen silver print,21.9,17.6,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40099
88 RUE BONAPARTE,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40100
23 RUE DE SEINE,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40101
Grand Trianon -- Dragon Par Hardy,1901,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40102
HÔTEL GOUFFIER. 56 RUE DE VARENNE,1908,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40103
ESCALIER. 34 RUE DES BOURDONNAIS,9/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40104
HÔTEL DE MONTMORENCY. 5 RUE DE MONTMORENCY,9/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40105
HÔTEL DE MONTMORENCY. 5 RUE DE MONTMORENCY,9/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40106
ESCALIER. (CONSEIL D'ÉTAT PALAIS ROYAL),1909,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40107
CONSEIL D'ÉTAT,1909,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40108
CONSEIL D'ÉTAT. PALAIS ROYAL,1909,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40109
FOLIE THOINARD. 9 RUE COQ-HÉRON,1908,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40111
FOLIE THOINARD. RUE COQ-HÉRON 9,10/1,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40112
GRAND TRIANON -- VASE EN PLOMB PAR LE LORRAIN,1901,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40113
6 RUE DE FOURCY,11/1,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40114
6 RUE DE FOURCY,11/1,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40115
23 Rue de Seine,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40116
HÔTEL GOURGUES. 54 RUE DE TURENNE,1913,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40117
HÔTEL GOURGUES. 54 RUE DE TURENNE,1913,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40118
MARCHÉ DE LA MADELEINE,1926,Gelatin silver printing-out-paper print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40119
MARCHÉ EDGAR QUINET,1925,Gelatin silver printing-out-paper print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40120
BOUTIQUE LOUIS XVI. 3 QUAI BOURBON,1900,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40121
Vielle boutique |  rue des Lyonnais 10,1914,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40122
BON MARCHÉ. RUE DE SÈVRES,1926,Gelatin silver printing-out-paper print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40123
Grand Trianon,1901,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40124
Magasins du Bon Marché,1926,Gelatin silver printing-out-paper print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40125
BOUTIQUE. COIN RUE DES CISEAUX ET GOZLIN,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40126
VIEILLE BOUTIQUE. 7 RUE LANNEAU,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40127
HÔTEL RICHELIEU. QUAI DE BÉTHUNE 18,1900,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40128
124 Rue Mouffetard,1910,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40129
PASSAGE THIERÉE 23. VIEILLE BOUTIQUE,1913,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40130
RUE DUSSOUBS. (UMBRELLA STORE),1914,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40131
BROCANTEUR. 53 RUE GRENETA,1914,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40132
Boutique |  93 rue Broca,1912,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40133
BROCANTEUR RUE POINSOT,1924,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40134
BOUTIQUE LIBRAIRE,1923,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40136
AUBERGE DU BOURDON. 64 RUE DE VARENNE,1907,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40137
À la Grace de Dieu |  rue Montmartre |  121,1902,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40138
PAVILLON DU HANOVRE |  32 BD. DES CAPUCINES,1913,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40139
GRILLE DE CABARET. 34 QUAI DE L'HÔTEL DE VILLE,1900,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40140
AU SOLEIL D'OR. RUE SAINT SAUVEUR 84,1899,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40141
CABARET DE LA PETITE BICHE. 60 RUE BEAUBOURG,1913,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40142
Cabaret de L'Enfer |  boulevard de Clichy 53,1910,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40143
Boulevard de la Chapelle |  18e,1921,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40144
BOUTIQUE. PLACE DAUPHINE,1924,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40145
Tuileries -  Le Rhône / et la Saone par / Coustou,1911,Albumen silver print,null,null,null,,Photograph,Photography,1968,N,40146
AUBERGE DU BOURDON. 64 RUE DE VARENNE,1922,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40147
67 RUE DE TURENNE,1922,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40148
CABARET. COIN RUE CHARLES V,1900,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40149
BOUTIQUE EMPIRE. 14 RUE GRAMMONT,4/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40150
CABARET COIN RUE DU FOUR. ET DES CISEAUX,1903,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40151
HÔTEL. 50 RUE DE TURENNE,1913,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40152
HÔTEL DE CLERMONT-TONNERRE. 85 RUE DU CHERCHE-MIDI,4/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40153
38 RUE DESCARTES,1910,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40154
36 PASSAGE THIERÉE. (IRONWORKS),1913,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40155
Boulevard de la Villette 122,1924,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40156
Grand Trianon,1923,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40157
BOUTIQUE. 26 RUE ST.-FOY. (BROOMS AND BASKETS),4/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40158
RUE DE SEINE. (POISSONNERIE),1924,Matte albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40160
RUE DES BLANCS MANTEAUX 28. (BOULANGERIE),1910,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40161
COIN RUE SAINT-MÉDARD ET MOUFFETARD,6/1/,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40162
ROUEN. FONTAINE CROIX DE PIERRE. (REPRODUCTION OF PRINT BY FELIX THORIGNY),1907,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40163
HÔTEL DE TRUDON. RUE DE L'ARBRE SEC 52,1903,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40164
VIEILLE BOUTIQUE. À LA PROVIDENCE. RUE SAINT-JACQUES 267,1903,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40165
RUE DES BLANCS MANTEAUX,1910,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40166
MARCHANDS AU PANIER,1899,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40167
Grand Trianon,1923,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40168
